Source,Target,Type
MO,CPB,Undirected
KO,CCE,Undirected
CLX,CL,Undirected
CPB,STZ,Undirected
CCE,STZ,Undirected
KO,COST,Undirected
STZ,COST,Undirected
CL,CVS,Undirected
MO,DF,Undirected
CPB,DF,Undirected
ADM,EL,Undirected
AVP,EL,Undirected
MO,GIS,Undirected
CCE,GIS,Undirected
MO,HNZ,Undirected
CCE,HNZ,Undirected
CL,HNZ,Undirected
DF,HNZ,Undirected
GIS,HNZ,Undirected
DF,HRL,Undirected
GIS,HRL,Undirected
HNZ,HRL,Undirected
MO,K,Undirected
ADM,K,Undirected
CPB,K,Undirected
CLX,K,Undirected
KO,K,Undirected
DF,K,Undirected
GIS,K,Undirected
HNZ,K,Undirected
AVP,KMB,Undirected
CPB,KMB,Undirected
CCE,KMB,Undirected
CL,KMB,Undirected
CVS,KMB,Undirected
EL,KMB,Undirected
MO,KFT,Undirected
ADM,KFT,Undirected
CPB,KFT,Undirected
DF,KFT,Undirected
GIS,KFT,Undirected
KO,KR,Undirected
KO,MKC,Undirected
STZ,MKC,Undirected
HNZ,MKC,Undirected
K,MKC,Undirected
KMB,MKC,Undirected
GIS,TAP,Undirected
HNZ,TAP,Undirected
MO,PEP,Undirected
CPB,PEP,Undirected
KO,PEP,Undirected
CCE,PEP,Undirected
CL,PEP,Undirected
COST,PEP,Undirected
CVS,PEP,Undirected
HNZ,PEP,Undirected
KMB,PEP,Undirected
ADM,PG,Undirected
CLX,PG,Undirected
KO,PG,Undirected
CL,PG,Undirected
K,PG,Undirected
KMB,PG,Undirected
PEP,PG,Undirected
MO,RAI,Undirected
STZ,RAI,Undirected
PEP,RAI,Undirected
PG,RAI,Undirected
CL,SWY,Undirected
GIS,SWY,Undirected
KR,SWY,Undirected
MO,SLE,Undirected
CPB,SLE,Undirected
COST,SLE,Undirected
GIS,SLE,Undirected
HNZ,SLE,Undirected
KMB,SLE,Undirected
KR,SLE,Undirected
TAP,SLE,Undirected
PEP,SLE,Undirected
SWY,SLE,Undirected
CPB,SJM,Undirected
KO,SJM,Undirected
CL,SJM,Undirected
GIS,SJM,Undirected
HRL,SJM,Undirected
KFT,SJM,Undirected
PG,SJM,Undirected
SWY,SJM,Undirected
EL,SVU,Undirected
HRL,SVU,Undirected
KR,SVU,Undirected
SWY,SVU,Undirected
SLE,SVU,Undirected
CCE,SYY,Undirected
CL,SYY,Undirected
HNZ,SYY,Undirected
SWY,SYY,Undirected
ADM,HSY,Undirected
STZ,HSY,Undirected
HNZ,HSY,Undirected
KFT,HSY,Undirected
KR,HSY,Undirected
MKC,HSY,Undirected
PEP,HSY,Undirected
CPB,TSN,Undirected
DF,TSN,Undirected
GIS,TSN,Undirected
HNZ,TSN,Undirected
KMB,TSN,Undirected
KFT,TSN,Undirected
TAP,TSN,Undirected
SWY,TSN,Undirected
SLE,TSN,Undirected
HSY,TSN,Undirected
AVP,WMT,Undirected
COST,WMT,Undirected
DF,WMT,Undirected
HNZ,WMT,Undirected
KMB,WMT,Undirected
PEP,WMT,Undirected
PG,WMT,Undirected
SLE,WMT,Undirected
SYY,WMT,Undirected
MO,WAG,Undirected
AVP,WAG,Undirected
CLX,WAG,Undirected
KO,WAG,Undirected
CVS,WAG,Undirected
MKC,WAG,Undirected
KO,WFM,Undirected
HNZ,WFM,Undirected
KR,WFM,Undirected
MKC,WFM,Undirected
HSY,WFM,Undirected
WMT,WFM,Undirected
AVP,AES,Undirected
K,AES,Undirected
TSN,AES,Undirected
CLX,AEE,Undirected
KMB,AEE,Undirected
TAP,AEE,Undirected
RAI,AEE,Undirected
KO,AEP,Undirected
EL,AEP,Undirected
K,AEP,Undirected
KR,AEP,Undirected
RAI,AEP,Undirected
SWY,AEP,Undirected
TSN,AEP,Undirected
WFM,AEP,Undirected
AEE,AEP,Undirected
CLX,CNP,Undirected
HNZ,CNP,Undirected
PG,CNP,Undirected
AES,CNP,Undirected
AEP,CNP,Undirected
AVP,CMS,Undirected
CL,CMS,Undirected
GIS,CMS,Undirected
SLE,CMS,Undirected
SYY,CMS,Undirected
WFM,CMS,Undirected
EL,ED,Undirected
HRL,ED,Undirected
MKC,ED,Undirected
AEP,ED,Undirected
CNP,ED,Undirected
CMS,ED,Undirected
SJM,CEG,Undirected
AEE,CEG,Undirected
AEP,CEG,Undirected
CMS,CEG,Undirected
KO,D,Undirected
COST,D,Undirected
CVS,D,Undirected
KR,D,Undirected
PEP,D,Undirected
AES,D,Undirected
AEE,D,Undirected
AEP,D,Undirected
CEG,D,Undirected
KO,DTE,Undirected
COST,DTE,Undirected
CVS,DTE,Undirected
GIS,DTE,Undirected
PEP,DTE,Undirected
RAI,DTE,Undirected
SYY,DTE,Undirected
WMT,DTE,Undirected
AES,DTE,Undirected
AEE,DTE,Undirected
AEP,DTE,Undirected
CMS,DTE,Undirected
CEG,DTE,Undirected
D,DTE,Undirected
CPB,DUK,Undirected
STZ,DUK,Undirected
HNZ,DUK,Undirected
AEE,DUK,Undirected
AEP,DUK,Undirected
CNP,DUK,Undirected
ED,DUK,Undirected
D,DUK,Undirected
AVP,EIX,Undirected
CLX,EIX,Undirected
KO,EIX,Undirected
CL,EIX,Undirected
STZ,EIX,Undirected
DF,EIX,Undirected
HNZ,EIX,Undirected
KMB,EIX,Undirected
SJM,EIX,Undirected
AES,EIX,Undirected
CMS,EIX,Undirected
CEG,EIX,Undirected
DTE,EIX,Undirected
AVP,ETR,Undirected
CLX,ETR,Undirected
DF,ETR,Undirected
GIS,ETR,Undirected
HNZ,ETR,Undirected
KMB,ETR,Undirected
PEP,ETR,Undirected
SLE,ETR,Undirected
SVU,ETR,Undirected
HSY,ETR,Undirected
TSN,ETR,Undirected
WMT,ETR,Undirected
AEE,ETR,Undirected
AEP,ETR,Undirected
CMS,ETR,Undirected
CEG,ETR,Undirected
DTE,ETR,Undirected
EIX,ETR,Undirected
STZ,EQT,Undirected
CVS,EQT,Undirected
EL,EQT,Undirected
HNZ,EQT,Undirected
KMB,EQT,Undirected
PEP,EQT,Undirected
HSY,EQT,Undirected
WAG,EQT,Undirected
ED,EQT,Undirected
D,EQT,Undirected
DTE,EQT,Undirected
DUK,EQT,Undirected
ETR,EQT,Undirected
CPB,EXC,Undirected
KO,EXC,Undirected
COST,EXC,Undirected
HNZ,EXC,Undirected
MKC,EXC,Undirected
HSY,EXC,Undirected
WAG,EXC,Undirected
AES,EXC,Undirected
AEE,EXC,Undirected
ED,EXC,Undirected
CEG,EXC,Undirected
D,EXC,Undirected
DTE,EXC,Undirected
DUK,EXC,Undirected
ETR,EXC,Undirected
ADM,FE,Undirected
PG,FE,Undirected
AEP,FE,Undirected
CNP,FE,Undirected
CMS,FE,Undirected
CEG,FE,Undirected
EIX,FE,Undirected
ETR,FE,Undirected
EXC,FE,Undirected
MO,TEG,Undirected
AVP,TEG,Undirected
CPB,TEG,Undirected
KO,TEG,Undirected
HRL,TEG,Undirected
K,TEG,Undirected
KFT,TEG,Undirected
KR,TEG,Undirected
HSY,TEG,Undirected
AES,TEG,Undirected
CNP,TEG,Undirected
D,TEG,Undirected
DTE,TEG,Undirected
EXC,TEG,Undirected
FE,TEG,Undirected
WMT,NEE,Undirected
AES,NEE,Undirected
AEE,NEE,Undirected
AEP,NEE,Undirected
CNP,NEE,Undirected
D,NEE,Undirected
DTE,NEE,Undirected
EIX,NEE,Undirected
ETR,NEE,Undirected
EXC,NEE,Undirected
FE,NEE,Undirected
CPB,GAS,Undirected
HNZ,GAS,Undirected
HRL,GAS,Undirected
KMB,GAS,Undirected
KFT,GAS,Undirected
TAP,GAS,Undirected
RAI,GAS,Undirected
SWY,GAS,Undirected
SJM,GAS,Undirected
SVU,GAS,Undirected
CMS,GAS,Undirected
EIX,GAS,Undirected
ETR,GAS,Undirected
TEG,GAS,Undirected
NEE,GAS,Undirected
CLX,NI,Undirected
HRL,NI,Undirected
PEP,NI,Undirected
SLE,NI,Undirected
SJM,NI,Undirected
TSN,NI,Undirected
ED,NI,Undirected
ETR,NI,Undirected
EQT,NI,Undirected
FE,NI,Undirected
NEE,NI,Undirected
GAS,NI,Undirected
KO,NU,Undirected
KFT,NU,Undirected
MKC,NU,Undirected
RAI,NU,Undirected
SLE,NU,Undirected
WMT,NU,Undirected
AEE,NU,Undirected
AEP,NU,Undirected
CNP,NU,Undirected
CMS,NU,Undirected
D,NU,Undirected
EIX,NU,Undirected
ETR,NU,Undirected
EXC,NU,Undirected
FE,NU,Undirected
TEG,NU,Undirected
GAS,NU,Undirected
CLX,OKE,Undirected
TAP,OKE,Undirected
AES,OKE,Undirected
AEP,OKE,Undirected
ED,OKE,Undirected
CEG,OKE,Undirected
DTE,OKE,Undirected
FE,OKE,Undirected
TEG,OKE,Undirected
GAS,OKE,Undirected
NU,OKE,Undirected
STZ,POM,Undirected
DF,POM,Undirected
EL,POM,Undirected
GIS,POM,Undirected
HRL,POM,Undirected
PEP,POM,Undirected
CNP,POM,Undirected
CMS,POM,Undirected
DTE,POM,Undirected
EIX,POM,Undirected
ETR,POM,Undirected
FE,POM,Undirected
GAS,POM,Undirected
NU,POM,Undirected
CPB,PCG,Undirected
AEP,PCG,Undirected
DTE,PCG,Undirected
EIX,PCG,Undirected
ETR,PCG,Undirected
EQT,PCG,Undirected
TEG,PCG,Undirected
GAS,PCG,Undirected
NI,PCG,Undirected
AEE,PNW,Undirected
AEP,PNW,Undirected
CMS,PNW,Undirected
ED,PNW,Undirected
CEG,PNW,Undirected
DUK,PNW,Undirected
EIX,PNW,Undirected
EQT,PNW,Undirected
FE,PNW,Undirected
PCG,PNW,Undirected
AVP,PPL,Undirected
KR,PPL,Undirected
PEP,PPL,Undirected
DUK,PPL,Undirected
EIX,PPL,Undirected
ETR,PPL,Undirected
EQT,PPL,Undirected
EXC,PPL,Undirected
FE,PPL,Undirected
NEE,PPL,Undirected
PCG,PPL,Undirected
CCE,PGN,Undirected
TAP,PGN,Undirected
PEP,PGN,Undirected
RAI,PGN,Undirected
SJM,PGN,Undirected
TSN,PGN,Undirected
AEE,PGN,Undirected
AEP,PGN,Undirected
CNP,PGN,Undirected
CMS,PGN,Undirected
ED,PGN,Undirected
DUK,PGN,Undirected
TEG,PGN,Undirected
NEE,PGN,Undirected
NI,PGN,Undirected
NU,PGN,Undirected
PCG,PGN,Undirected
PNW,PGN,Undirected
CPB,SCG,Undirected
KO,SCG,Undirected
STZ,SCG,Undirected
COST,SCG,Undirected
HRL,SCG,Undirected
MKC,SCG,Undirected
SJM,SCG,Undirected
WFM,SCG,Undirected
CNP,SCG,Undirected
ED,SCG,Undirected
DTE,SCG,Undirected
ETR,SCG,Undirected
FE,SCG,Undirected
NEE,SCG,Undirected
GAS,SCG,Undirected
NI,SCG,Undirected
NU,SCG,Undirected
POM,SCG,Undirected
PCG,SCG,Undirected
PGN,SCG,Undirected
CLX,SRE,Undirected
KO,SRE,Undirected
SWY,SRE,Undirected
SLE,SRE,Undirected
SJM,SRE,Undirected
AES,SRE,Undirected
AEE,SRE,Undirected
AEP,SRE,Undirected
CEG,SRE,Undirected
DTE,SRE,Undirected
DUK,SRE,Undirected
EIX,SRE,Undirected
ETR,SRE,Undirected
GAS,SRE,Undirected
NI,SRE,Undirected
