Source,Target,Type
MO,ADM,Undirected
MO,CPB,Undirected
ADM,CPB,Undirected
ADM,CLX,Undirected
AVP,CLX,Undirected
CPB,CLX,Undirected
MO,KO,Undirected
ADM,KO,Undirected
AVP,KO,Undirected
CLX,KO,Undirected
ADM,CCE,Undirected
KO,CCE,Undirected
MO,CL,Undirected
ADM,CL,Undirected
AVP,CL,Undirected
CLX,CL,Undirected
KO,CL,Undirected
ADM,STZ,Undirected
KO,STZ,Undirected
CCE,STZ,Undirected
CL,STZ,Undirected
ADM,COST,Undirected
STZ,COST,Undirected
MO,CVS,Undirected
ADM,CVS,Undirected
AVP,CVS,Undirected
CCE,CVS,Undirected
COST,CVS,Undirected
MO,DF,Undirected
AVP,DF,Undirected
CPB,DF,Undirected
CLX,DF,Undirected
CCE,DF,Undirected
CL,DF,Undirected
STZ,DF,Undirected
CVS,DF,Undirected
ADM,EL,Undirected
AVP,EL,Undirected
CPB,EL,Undirected
CLX,EL,Undirected
CL,EL,Undirected
COST,EL,Undirected
ADM,GIS,Undirected
CPB,GIS,Undirected
CLX,GIS,Undirected
KO,GIS,Undirected
CCE,GIS,Undirected
CL,GIS,Undirected
EL,GIS,Undirected
MO,HNZ,Undirected
ADM,HNZ,Undirected
AVP,HNZ,Undirected
CPB,HNZ,Undirected
KO,HNZ,Undirected
CCE,HNZ,Undirected
CVS,HNZ,Undirected
DF,HNZ,Undirected
EL,HNZ,Undirected
GIS,HNZ,Undirected
ADM,HRL,Undirected
CPB,HRL,Undirected
KO,HRL,Undirected
CCE,HRL,Undirected
CL,HRL,Undirected
DF,HRL,Undirected
EL,HRL,Undirected
GIS,HRL,Undirected
HNZ,HRL,Undirected
AVP,K,Undirected
CPB,K,Undirected
CLX,K,Undirected
KO,K,Undirected
CCE,K,Undirected
DF,K,Undirected
EL,K,Undirected
GIS,K,Undirected
HNZ,K,Undirected
HRL,K,Undirected
MO,KMB,Undirected
AVP,KMB,Undirected
CLX,KMB,Undirected
KO,KMB,Undirected
CCE,KMB,Undirected
CL,KMB,Undirected
COST,KMB,Undirected
CVS,KMB,Undirected
EL,KMB,Undirected
HNZ,KMB,Undirected
HRL,KMB,Undirected
MO,KFT,Undirected
CPB,KFT,Undirected
KO,KFT,Undirected
CCE,KFT,Undirected
CL,KFT,Undirected
CVS,KFT,Undirected
DF,KFT,Undirected
EL,KFT,Undirected
GIS,KFT,Undirected
HNZ,KFT,Undirected
HRL,KFT,Undirected
K,KFT,Undirected
KMB,KFT,Undirected
MO,KR,Undirected
CPB,KR,Undirected
CCE,KR,Undirected
CL,KR,Undirected
STZ,KR,Undirected
COST,KR,Undirected
CVS,KR,Undirected
DF,KR,Undirected
HNZ,KR,Undirected
HRL,KR,Undirected
KFT,KR,Undirected
ADM,MKC,Undirected
AVP,MKC,Undirected
CPB,MKC,Undirected
CLX,MKC,Undirected
KO,MKC,Undirected
CCE,MKC,Undirected
CL,MKC,Undirected
STZ,MKC,Undirected
GIS,MKC,Undirected
HNZ,MKC,Undirected
HRL,MKC,Undirected
K,MKC,Undirected
KMB,MKC,Undirected
CPB,TAP,Undirected
CCE,TAP,Undirected
CL,TAP,Undirected
STZ,TAP,Undirected
COST,TAP,Undirected
DF,TAP,Undirected
GIS,TAP,Undirected
HNZ,TAP,Undirected
HRL,TAP,Undirected
KMB,TAP,Undirected
KFT,TAP,Undirected
MKC,TAP,Undirected
AVP,PEP,Undirected
CPB,PEP,Undirected
KO,PEP,Undirected
CCE,PEP,Undirected
CL,PEP,Undirected
COST,PEP,Undirected
CVS,PEP,Undirected
GIS,PEP,Undirected
HNZ,PEP,Undirected
HRL,PEP,Undirected
K,PEP,Undirected
KMB,PEP,Undirected
KFT,PEP,Undirected
KR,PEP,Undirected
MKC,PEP,Undirected
MO,PG,Undirected
CPB,PG,Undirected
CLX,PG,Undirected
KO,PG,Undirected
CL,PG,Undirected
STZ,PG,Undirected
COST,PG,Undirected
CVS,PG,Undirected
DF,PG,Undirected
EL,PG,Undirected
GIS,PG,Undirected
HNZ,PG,Undirected
K,PG,Undirected
KMB,PG,Undirected
MKC,PG,Undirected
PEP,PG,Undirected
MO,RAI,Undirected
AVP,RAI,Undirected
CPB,RAI,Undirected
CCE,RAI,Undirected
STZ,RAI,Undirected
KMB,RAI,Undirected
KR,RAI,Undirected
MKC,RAI,Undirected
PEP,RAI,Undirected
CPB,SWY,Undirected
KO,SWY,Undirected
CL,SWY,Undirected
CVS,SWY,Undirected
DF,SWY,Undirected
HNZ,SWY,Undirected
KMB,SWY,Undirected
KR,SWY,Undirected
TAP,SWY,Undirected
MO,SLE,Undirected
ADM,SLE,Undirected
AVP,SLE,Undirected
CPB,SLE,Undirected
KO,SLE,Undirected
CL,SLE,Undirected
DF,SLE,Undirected
EL,SLE,Undirected
GIS,SLE,Undirected
HNZ,SLE,Undirected
K,SLE,Undirected
KMB,SLE,Undirected
KFT,SLE,Undirected
MKC,SLE,Undirected
TAP,SLE,Undirected
PEP,SLE,Undirected
ADM,SJM,Undirected
CPB,SJM,Undirected
CLX,SJM,Undirected
CL,SJM,Undirected
STZ,SJM,Undirected
DF,SJM,Undirected
EL,SJM,Undirected
GIS,SJM,Undirected
HRL,SJM,Undirected
K,SJM,Undirected
KFT,SJM,Undirected
KR,SJM,Undirected
MKC,SJM,Undirected
PG,SJM,Undirected
SWY,SJM,Undirected
SLE,SJM,Undirected
CPB,SVU,Undirected
CCE,SVU,Undirected
COST,SVU,Undirected
CVS,SVU,Undirected
EL,SVU,Undirected
HRL,SVU,Undirected
K,SVU,Undirected
KMB,SVU,Undirected
KR,SVU,Undirected
MKC,SVU,Undirected
SWY,SVU,Undirected
SLE,SVU,Undirected
MO,SYY,Undirected
CPB,SYY,Undirected
KO,SYY,Undirected
CCE,SYY,Undirected
STZ,SYY,Undirected
COST,SYY,Undirected
DF,SYY,Undirected
GIS,SYY,Undirected
HNZ,SYY,Undirected
HRL,SYY,Undirected
K,SYY,Undirected
KMB,SYY,Undirected
KFT,SYY,Undirected
MKC,SYY,Undirected
TAP,SYY,Undirected
PEP,SYY,Undirected
SWY,SYY,Undirected
SLE,SYY,Undirected
SJM,SYY,Undirected
SVU,SYY,Undirected
MO,HSY,Undirected
ADM,HSY,Undirected
AVP,HSY,Undirected
CPB,HSY,Undirected
KO,HSY,Undirected
CL,HSY,Undirected
STZ,HSY,Undirected
DF,HSY,Undirected
GIS,HSY,Undirected
HNZ,HSY,Undirected
HRL,HSY,Undirected
K,HSY,Undirected
KMB,HSY,Undirected
KR,HSY,Undirected
MKC,HSY,Undirected
TAP,HSY,Undirected
PEP,HSY,Undirected
RAI,HSY,Undirected
SJM,HSY,Undirected
SYY,HSY,Undirected
AVP,TSN,Undirected
CPB,TSN,Undirected
CLX,TSN,Undirected
CCE,TSN,Undirected
DF,TSN,Undirected
EL,TSN,Undirected
GIS,TSN,Undirected
HNZ,TSN,Undirected
HRL,TSN,Undirected
KMB,TSN,Undirected
KFT,TSN,Undirected
KR,TSN,Undirected
MKC,TSN,Undirected
TAP,TSN,Undirected
PEP,TSN,Undirected
SWY,TSN,Undirected
SLE,TSN,Undirected
SJM,TSN,Undirected
SVU,TSN,Undirected
SYY,TSN,Undirected
HSY,TSN,Undirected
ADM,WMT,Undirected
AVP,WMT,Undirected
CPB,WMT,Undirected
CLX,WMT,Undirected
CCE,WMT,Undirected
COST,WMT,Undirected
CVS,WMT,Undirected
DF,WMT,Undirected
HNZ,WMT,Undirected
HRL,WMT,Undirected
KMB,WMT,Undirected
KR,WMT,Undirected
MKC,WMT,Undirected
PEP,WMT,Undirected
PG,WMT,Undirected
RAI,WMT,Undirected
SLE,WMT,Undirected
SVU,WMT,Undirected
SYY,WMT,Undirected
HSY,WMT,Undirected
TSN,WMT,Undirected
ADM,WAG,Undirected
AVP,WAG,Undirected
CPB,WAG,Undirected
KO,WAG,Undirected
CCE,WAG,Undirected
STZ,WAG,Undirected
COST,WAG,Undirected
CVS,WAG,Undirected
HNZ,WAG,Undirected
K,WAG,Undirected
KR,WAG,Undirected
MKC,WAG,Undirected
PG,WAG,Undirected
RAI,WAG,Undirected
SLE,WAG,Undirected
SJM,WAG,Undirected
SYY,WAG,Undirected
HSY,WAG,Undirected
WMT,WAG,Undirected
STZ,WFM,Undirected
COST,WFM,Undirected
CVS,WFM,Undirected
DF,WFM,Undirected
EL,WFM,Undirected
K,WFM,Undirected
KR,WFM,Undirected
MKC,WFM,Undirected
PG,WFM,Undirected
SWY,WFM,Undirected
SLE,WFM,Undirected
SVU,WFM,Undirected
SYY,WFM,Undirected
HSY,WFM,Undirected
TSN,WFM,Undirected
WMT,WFM,Undirected
KMB,AES,Undirected
SWY,AES,Undirected
WMT,AES,Undirected
WAG,AES,Undirected
KO,AEE,Undirected
AES,AEE,Undirected
CL,AEP,Undirected
HNZ,AEP,Undirected
KMB,AEP,Undirected
AES,AEP,Undirected
AEE,AEP,Undirected
CLX,CNP,Undirected
CL,CNP,Undirected
HRL,CNP,Undirected
TAP,CNP,Undirected
SLE,CNP,Undirected
AES,CNP,Undirected
AEE,CNP,Undirected
CPB,CMS,Undirected
HNZ,CMS,Undirected
KMB,CMS,Undirected
MKC,CMS,Undirected
PEP,CMS,Undirected
RAI,CMS,Undirected
SWY,CMS,Undirected
SVU,CMS,Undirected
TSN,CMS,Undirected
WMT,CMS,Undirected
AES,CMS,Undirected
CNP,CMS,Undirected
PEP,ED,Undirected
PG,ED,Undirected
SLE,ED,Undirected
HSY,ED,Undirected
AEE,ED,Undirected
AEP,ED,Undirected
CNP,ED,Undirected
ADM,CEG,Undirected
AVP,CEG,Undirected
AEE,CEG,Undirected
CNP,CEG,Undirected
CMS,CEG,Undirected
ED,CEG,Undirected
AEE,D,Undirected
AEP,D,Undirected
CNP,D,Undirected
ED,D,Undirected
CEG,D,Undirected
HSY,DTE,Undirected
AEE,DTE,Undirected
AEP,DTE,Undirected
CNP,DTE,Undirected
CMS,DTE,Undirected
ED,DTE,Undirected
D,DTE,Undirected
COST,DUK,Undirected
KMB,DUK,Undirected
WAG,DUK,Undirected
AES,DUK,Undirected
AEE,DUK,Undirected
AEP,DUK,Undirected
CNP,DUK,Undirected
CMS,DUK,Undirected
ED,DUK,Undirected
D,DUK,Undirected
DTE,DUK,Undirected
DF,EIX,Undirected
KMB,EIX,Undirected
SWY,EIX,Undirected
WFM,EIX,Undirected
CNP,EIX,Undirected
CMS,EIX,Undirected
CEG,EIX,Undirected
D,EIX,Undirected
DTE,EIX,Undirected
DUK,EIX,Undirected
SLE,ETR,Undirected
SVU,ETR,Undirected
AES,ETR,Undirected
AEE,ETR,Undirected
AEP,ETR,Undirected
CNP,ETR,Undirected
CMS,ETR,Undirected
ED,ETR,Undirected
CEG,ETR,Undirected
D,ETR,Undirected
DTE,ETR,Undirected
DUK,ETR,Undirected
EIX,ETR,Undirected
ADM,EQT,Undirected
STZ,EQT,Undirected
DF,EQT,Undirected
GIS,EQT,Undirected
MKC,EQT,Undirected
WFM,EQT,Undirected
D,EQT,Undirected
RAI,EXC,Undirected
HSY,EXC,Undirected
TSN,EXC,Undirected
AEE,EXC,Undirected
AEP,EXC,Undirected
ED,EXC,Undirected
CEG,EXC,Undirected
D,EXC,Undirected
DTE,EXC,Undirected
DUK,EXC,Undirected
EIX,EXC,Undirected
ETR,EXC,Undirected
EQT,EXC,Undirected
KO,FE,Undirected
RAI,FE,Undirected
AES,FE,Undirected
AEE,FE,Undirected
AEP,FE,Undirected
CNP,FE,Undirected
CMS,FE,Undirected
ED,FE,Undirected
CEG,FE,Undirected
D,FE,Undirected
DTE,FE,Undirected
EIX,FE,Undirected
ETR,FE,Undirected
EXC,FE,Undirected
CPB,TEG,Undirected
STZ,TEG,Undirected
SLE,TEG,Undirected
AEE,TEG,Undirected
CNP,TEG,Undirected
ED,TEG,Undirected
CEG,TEG,Undirected
D,TEG,Undirected
DTE,TEG,Undirected
ETR,TEG,Undirected
EQT,TEG,Undirected
EXC,TEG,Undirected
FE,TEG,Undirected
TSN,NEE,Undirected
AEE,NEE,Undirected
AEP,NEE,Undirected
ED,NEE,Undirected
CEG,NEE,Undirected
D,NEE,Undirected
DTE,NEE,Undirected
DUK,NEE,Undirected
ETR,NEE,Undirected
EXC,NEE,Undirected
FE,NEE,Undirected
TEG,NEE,Undirected
MO,GAS,Undirected
COST,GAS,Undirected
DF,GAS,Undirected
GIS,GAS,Undirected
HNZ,GAS,Undirected
HRL,GAS,Undirected
KMB,GAS,Undirected
KFT,GAS,Undirected
KR,GAS,Undirected
SWY,GAS,Undirected
SLE,GAS,Undirected
SJM,GAS,Undirected
SVU,GAS,Undirected
SYY,GAS,Undirected
TSN,GAS,Undirected
AES,GAS,Undirected
CNP,GAS,Undirected
ED,GAS,Undirected
D,GAS,Undirected
DTE,GAS,Undirected
DUK,GAS,Undirected
EQT,GAS,Undirected
ADM,NI,Undirected
DF,NI,Undirected
HRL,NI,Undirected
KR,NI,Undirected
SVU,NI,Undirected
AEE,NI,Undirected
CNP,NI,Undirected
ED,NI,Undirected
CEG,NI,Undirected
D,NI,Undirected
DTE,NI,Undirected
DUK,NI,Undirected
EQT,NI,Undirected
FE,NI,Undirected
TEG,NI,Undirected
NEE,NI,Undirected
GAS,NI,Undirected
MO,NU,Undirected
CVS,NU,Undirected
HRL,NU,Undirected
KMB,NU,Undirected
RAI,NU,Undirected
SLE,NU,Undirected
WFM,NU,Undirected
AES,NU,Undirected
AEE,NU,Undirected
AEP,NU,Undirected
CNP,NU,Undirected
CMS,NU,Undirected
ED,NU,Undirected
CEG,NU,Undirected
D,NU,Undirected
DTE,NU,Undirected
DUK,NU,Undirected
EIX,NU,Undirected
ETR,NU,Undirected
EXC,NU,Undirected
FE,NU,Undirected
TEG,NU,Undirected
NEE,NU,Undirected
CLX,OKE,Undirected
SJM,OKE,Undirected
SVU,OKE,Undirected
CNP,OKE,Undirected
CEG,OKE,Undirected
EIX,OKE,Undirected
ETR,OKE,Undirected
EQT,OKE,Undirected
EXC,OKE,Undirected
TEG,OKE,Undirected
GAS,OKE,Undirected
NI,OKE,Undirected
NU,OKE,Undirected
MO,POM,Undirected
AVP,POM,Undirected
STZ,POM,Undirected
HRL,POM,Undirected
PG,POM,Undirected
SWY,POM,Undirected
SJM,POM,Undirected
AEE,POM,Undirected
AEP,POM,Undirected
ED,POM,Undirected
CEG,POM,Undirected
D,POM,Undirected
DTE,POM,Undirected
EIX,POM,Undirected
ETR,POM,Undirected
EQT,POM,Undirected
EXC,POM,Undirected
FE,POM,Undirected
TEG,POM,Undirected
NEE,POM,Undirected
GAS,POM,Undirected
NU,POM,Undirected
OKE,POM,Undirected
CPB,PCG,Undirected
CLX,PCG,Undirected
DF,PCG,Undirected
HRL,PCG,Undirected
K,PCG,Undirected
RAI,PCG,Undirected
SWY,PCG,Undirected
SJM,PCG,Undirected
SVU,PCG,Undirected
AEE,PCG,Undirected
AEP,PCG,Undirected
CNP,PCG,Undirected
CMS,PCG,Undirected
ED,PCG,Undirected
D,PCG,Undirected
DUK,PCG,Undirected
EIX,PCG,Undirected
ETR,PCG,Undirected
FE,PCG,Undirected
TEG,PCG,Undirected
NEE,PCG,Undirected
OKE,PCG,Undirected
POM,PCG,Undirected
PG,PNW,Undirected
SVU,PNW,Undirected
AEE,PNW,Undirected
AEP,PNW,Undirected
CNP,PNW,Undirected
ED,PNW,Undirected
CEG,PNW,Undirected
D,PNW,Undirected
DTE,PNW,Undirected
DUK,PNW,Undirected
ETR,PNW,Undirected
FE,PNW,Undirected
TEG,PNW,Undirected
NEE,PNW,Undirected
NI,PNW,Undirected
NU,PNW,Undirected
POM,PNW,Undirected
PCG,PNW,Undirected
ADM,PPL,Undirected
HNZ,PPL,Undirected
KMB,PPL,Undirected
RAI,PPL,Undirected
AEE,PPL,Undirected
AEP,PPL,Undirected
CNP,PPL,Undirected
CMS,PPL,Undirected
ED,PPL,Undirected
CEG,PPL,Undirected
D,PPL,Undirected
DTE,PPL,Undirected
DUK,PPL,Undirected
EIX,PPL,Undirected
ETR,PPL,Undirected
EQT,PPL,Undirected
EXC,PPL,Undirected
FE,PPL,Undirected
TEG,PPL,Undirected
NEE,PPL,Undirected
POM,PPL,Undirected
PCG,PPL,Undirected
PNW,PPL,Undirected
GIS,PGN,Undirected
AEE,PGN,Undirected
AEP,PGN,Undirected
CNP,PGN,Undirected
ED,PGN,Undirected
D,PGN,Undirected
DTE,PGN,Undirected
DUK,PGN,Undirected
EXC,PGN,Undirected
FE,PGN,Undirected
TEG,PGN,Undirected
NEE,PGN,Undirected
NI,PGN,Undirected
NU,PGN,Undirected
POM,PGN,Undirected
PCG,PGN,Undirected
PNW,PGN,Undirected
PPL,PGN,Undirected
HRL,SCG,Undirected
KMB,SCG,Undirected
SJM,SCG,Undirected
AES,SCG,Undirected
AEE,SCG,Undirected
AEP,SCG,Undirected
CNP,SCG,Undirected
CMS,SCG,Undirected
ED,SCG,Undirected
CEG,SCG,Undirected
DTE,SCG,Undirected
EIX,SCG,Undirected
ETR,SCG,Undirected
EQT,SCG,Undirected
EXC,SCG,Undirected
FE,SCG,Undirected
TEG,SCG,Undirected
GAS,SCG,Undirected
NI,SCG,Undirected
NU,SCG,Undirected
OKE,SCG,Undirected
POM,SCG,Undirected
PCG,SCG,Undirected
PNW,SCG,Undirected
PPL,SCG,Undirected
PGN,SCG,Undirected
MKC,SRE,Undirected
SVU,SRE,Undirected
SYY,SRE,Undirected
AES,SRE,Undirected
AEP,SRE,Undirected
CNP,SRE,Undirected
ED,SRE,Undirected
CEG,SRE,Undirected
D,SRE,Undirected
DTE,SRE,Undirected
EIX,SRE,Undirected
ETR,SRE,Undirected
EQT,SRE,Undirected
TEG,SRE,Undirected
NEE,SRE,Undirected
GAS,SRE,Undirected
NI,SRE,Undirected
OKE,SRE,Undirected
POM,SRE,Undirected
PPL,SRE,Undirected
PGN,SRE,Undirected
SCG,SRE,Undirected
KO,SO,Undirected
MKC,SO,Undirected
AEE,SO,Undirected
AEP,SO,Undirected
CNP,SO,Undirected
ED,SO,Undirected
D,SO,Undirected
DTE,SO,Undirected
DUK,SO,Undirected
ETR,SO,Undirected
EXC,SO,Undirected
FE,SO,Undirected
NEE,SO,Undirected
NU,SO,Undirected
PCG,SO,Undirected
PNW,SO,Undirected
PPL,SO,Undirected
PGN,SO,Undirected
SCG,SO,Undirected
SRE,SO,Undirected
CL,TE,Undirected
HNZ,TE,Undirected
MKC,TE,Undirected
RAI,TE,Undirected
WAG,TE,Undirected
AEP,TE,Undirected
CNP,TE,Undirected
CMS,TE,Undirected
ED,TE,Undirected
D,TE,Undirected
DTE,TE,Undirected
DUK,TE,Undirected
EQT,TE,Undirected
EXC,TE,Undirected
TEG,TE,Undirected
NEE,TE,Undirected
GAS,TE,Undirected
NI,TE,Undirected
POM,TE,Undirected
PCG,TE,Undirected
PNW,TE,Undirected
PPL,TE,Undirected
PGN,TE,Undirected
SCG,TE,Undirected
SRE,TE,Undirected
AVP,WEC,Undirected
CCE,WEC,Undirected
DF,WEC,Undirected
EL,WEC,Undirected
TAP,WEC,Undirected
RAI,WEC,Undirected
SWY,WEC,Undirected
SJM,WEC,Undirected
WFM,WEC,Undirected
AEP,WEC,Undirected
CNP,WEC,Undirected
CMS,WEC,Undirected
ED,WEC,Undirected
DTE,WEC,Undirected
EIX,WEC,Undirected
ETR,WEC,Undirected
EQT,WEC,Undirected
EXC,WEC,Undirected
FE,WEC,Undirected
TEG,WEC,Undirected
NEE,WEC,Undirected
GAS,WEC,Undirected
NI,WEC,Undirected
NU,WEC,Undirected
OKE,WEC,Undirected
POM,WEC,Undirected
PCG,WEC,Undirected
PNW,WEC,Undirected
PPL,WEC,Undirected
SCG,WEC,Undirected
SRE,WEC,Undirected
TE,WEC,Undirected
CPB,XEL,Undirected
GIS,XEL,Undirected
PG,XEL,Undirected
SWY,XEL,Undirected
SVU,XEL,Undirected
AEE,XEL,Undirected
CNP,XEL,Undirected
CMS,XEL,Undirected
ED,XEL,Undirected
CEG,XEL,Undirected
DTE,XEL,Undirected
DUK,XEL,Undirected
EIX,XEL,Undirected
ETR,XEL,Undirected
FE,XEL,Undirected
TEG,XEL,Undirected
NEE,XEL,Undirected
GAS,XEL,Undirected
NI,XEL,Undirected
NU,XEL,Undirected
POM,XEL,Undirected
PCG,XEL,Undirected
PNW,XEL,Undirected
PPL,XEL,Undirected
PGN,XEL,Undirected
SCG,XEL,Undirected
SO,XEL,Undirected
WEC,XEL,Undirected
ADM,APC,Undirected
EQT,APC,Undirected
CPB,APA,Undirected
SJM,APA,Undirected
TSN,APA,Undirected
EQT,APA,Undirected
APC,APA,Undirected
APC,BHI,Undirected
ADM,COG,Undirected
WFM,COG,Undirected
EQT,COG,Undirected
OKE,COG,Undirected
APC,COG,Undirected
