Source,Target,Type
MO,CPB,Undirected
ADM,CPB,Undirected
AVP,CLX,Undirected
MO,KO,Undirected
CPB,KO,Undirected
CLX,KO,Undirected
ADM,CCE,Undirected
CPB,CCE,Undirected
KO,CCE,Undirected
MO,CL,Undirected
AVP,CL,Undirected
CPB,CL,Undirected
CLX,CL,Undirected
KO,CL,Undirected
CPB,STZ,Undirected
KO,STZ,Undirected
CCE,STZ,Undirected
CL,STZ,Undirected
KO,COST,Undirected
STZ,COST,Undirected
MO,CVS,Undirected
AVP,CVS,Undirected
CL,CVS,Undirected
COST,CVS,Undirected
MO,DF,Undirected
AVP,DF,Undirected
CPB,DF,Undirected
CLX,DF,Undirected
CL,DF,Undirected
STZ,DF,Undirected
CVS,DF,Undirected
ADM,EL,Undirected
AVP,EL,Undirected
CLX,EL,Undirected
CL,EL,Undirected
COST,EL,Undirected
MO,GIS,Undirected
CPB,GIS,Undirected
CLX,GIS,Undirected
KO,GIS,Undirected
CCE,GIS,Undirected
MO,HNZ,Undirected
ADM,HNZ,Undirected
AVP,HNZ,Undirected
CPB,HNZ,Undirected
CLX,HNZ,Undirected
KO,HNZ,Undirected
CCE,HNZ,Undirected
CL,HNZ,Undirected
CVS,HNZ,Undirected
DF,HNZ,Undirected
EL,HNZ,Undirected
GIS,HNZ,Undirected
ADM,HRL,Undirected
KO,HRL,Undirected
CL,HRL,Undirected
DF,HRL,Undirected
EL,HRL,Undirected
GIS,HRL,Undirected
HNZ,HRL,Undirected
MO,K,Undirected
ADM,K,Undirected
AVP,K,Undirected
CPB,K,Undirected
CLX,K,Undirected
KO,K,Undirected
CCE,K,Undirected
DF,K,Undirected
EL,K,Undirected
GIS,K,Undirected
HNZ,K,Undirected
HRL,K,Undirected
MO,KMB,Undirected
AVP,KMB,Undirected
CPB,KMB,Undirected
CLX,KMB,Undirected
KO,KMB,Undirected
CCE,KMB,Undirected
CL,KMB,Undirected
COST,KMB,Undirected
CVS,KMB,Undirected
DF,KMB,Undirected
EL,KMB,Undirected
HNZ,KMB,Undirected
K,KMB,Undirected
MO,KFT,Undirected
ADM,KFT,Undirected
