Source,Target,Type
MO,ADM,Undirected
MO,CLX,Undirected
ADM,CLX,Undirected
ADM,KO,Undirected
AVP,KO,Undirected
MO,CCE,Undirected
ADM,CCE,Undirected
AVP,CCE,Undirected
KO,CCE,Undirected
AVP,CL,Undirected
CPB,CL,Undirected
CLX,CL,Undirected
CCE,CL,Undirected
CPB,STZ,Undirected
CCE,STZ,Undirected
MO,COST,Undirected
ADM,COST,Undirected
CPB,COST,Undirected
CLX,COST,Undirected
CCE,COST,Undirected
CL,COST,Undirected
STZ,COST,Undirected
AVP,CVS,Undirected
CPB,CVS,Undirected
CLX,CVS,Undirected
CL,CVS,Undirected
STZ,CVS,Undirected
COST,CVS,Undirected
MO,DF,Undirected
AVP,DF,Undirected
CPB,DF,Undirected
CLX,DF,Undirected
KO,DF,Undirected
CCE,DF,Undirected
CL,DF,Undirected
MO,EL,Undirected
ADM,EL,Undirected
AVP,EL,Undirected
CL,EL,Undirected
COST,EL,Undirected
CVS,EL,Undirected
DF,EL,Undirected
CPB,GIS,Undirected
CLX,GIS,Undirected
CCE,GIS,Undirected
COST,GIS,Undirected
CVS,GIS,Undirected
EL,GIS,Undirected
MO,HNZ,Undirected
AVP,HNZ,Undirected
CPB,HNZ,Undirected
CLX,HNZ,Undirected
CL,HNZ,Undirected
CVS,HNZ,Undirected
DF,HNZ,Undirected
GIS,HNZ,Undirected
MO,HRL,Undirected
CLX,HRL,Undirected
KO,HRL,Undirected
CCE,HRL,Undirected
DF,HRL,Undirected
EL,HRL,Undirected
GIS,HRL,Undirected
HNZ,HRL,Undirected
MO,K,Undirected
ADM,K,Undirected
AVP,K,Undirected
CPB,K,Undirected
CLX,K,Undirected
KO,K,Undirected
STZ,K,Undirected
DF,K,Undirected
GIS,K,Undirected
HNZ,K,Undirected
HRL,K,Undirected
ADM,KMB,Undirected
AVP,KMB,Undirected
CPB,KMB,Undirected
KO,KMB,Undirected
CCE,KMB,Undirected
CL,KMB,Undirected
STZ,KMB,Undirected
CVS,KMB,Undirected
EL,KMB,Undirected
HNZ,KMB,Undirected
K,KMB,Undirected
MO,KFT,Undirected
ADM,KFT,Undirected
CPB,KFT,Undirected
KO,KFT,Undirected
CL,KFT,Undirected
STZ,KFT,Undirected
COST,KFT,Undirected
DF,KFT,Undirected
EL,KFT,Undirected
GIS,KFT,Undirected
HNZ,KFT,Undirected
HRL,KFT,Undirected
K,KFT,Undirected
MO,KR,Undirected
CPB,KR,Undirected
KO,KR,Undirected
CCE,KR,Undirected
CL,KR,Undirected
DF,KR,Undirected
HNZ,KR,Undirected
MO,MKC,Undirected
ADM,MKC,Undirected
AVP,MKC,Undirected
CPB,MKC,Undirected
KO,MKC,Undirected
CCE,MKC,Undirected
CL,MKC,Undirected
STZ,MKC,Undirected
COST,MKC,Undirected
CVS,MKC,Undirected
DF,MKC,Undirected
HNZ,MKC,Undirected
K,MKC,Undirected
KMB,MKC,Undirected
KFT,MKC,Undirected
KR,MKC,Undirected
AVP,TAP,Undirected
CPB,TAP,Undirected
CLX,TAP,Undirected
CL,TAP,Undirected
STZ,TAP,Undirected
EL,TAP,Undirected
GIS,TAP,Undirected
HNZ,TAP,Undirected
HRL,TAP,Undirected
K,TAP,Undirected
KMB,TAP,Undirected
KFT,TAP,Undirected
MKC,TAP,Undirected
MO,PEP,Undirected
AVP,PEP,Undirected
CPB,PEP,Undirected
KO,PEP,Undirected
CCE,PEP,Undirected
CL,PEP,Undirected
COST,PEP,Undirected
CVS,PEP,Undirected
EL,PEP,Undirected
HNZ,PEP,Undirected
HRL,PEP,Undirected
KMB,PEP,Undirected
KR,PEP,Undirected
MKC,PEP,Undirected
TAP,PEP,Undirected
MO,PG,Undirected
ADM,PG,Undirected
AVP,PG,Undirected
CPB,PG,Undirected
CLX,PG,Undirected
KO,PG,Undirected
CL,PG,Undirected
COST,PG,Undirected
DF,PG,Undirected
EL,PG,Undirected
HNZ,PG,Undirected
HRL,PG,Undirected
K,PG,Undirected
KMB,PG,Undirected
KR,PG,Undirected
TAP,PG,Undirected
PEP,PG,Undirected
MO,RAI,Undirected
ADM,RAI,Undirected
CPB,RAI,Undirected
CCE,RAI,Undirected
CL,RAI,Undirected
STZ,RAI,Undirected
EL,RAI,Undirected
GIS,RAI,Undirected
HNZ,RAI,Undirected
KFT,RAI,Undirected
MKC,RAI,Undirected
TAP,RAI,Undirected
PEP,RAI,Undirected
PG,RAI,Undirected
MO,SWY,Undirected
CPB,SWY,Undirected
CLX,SWY,Undirected
CL,SWY,Undirected
STZ,SWY,Undirected
COST,SWY,Undirected
DF,SWY,Undirected
EL,SWY,Undirected
HNZ,SWY,Undirected
HRL,SWY,Undirected
K,SWY,Undirected
KR,SWY,Undirected
MKC,SWY,Undirected
PG,SWY,Undirected
RAI,SWY,Undirected
MO,SLE,Undirected
