Source,Target,Type
MO,ADM,Undirected
ADM,CLX,Undirected
ADM,KO,Undirected
AVP,KO,Undirected
MO,CCE,Undirected
ADM,CCE,Undirected
AVP,CCE,Undirected
KO,CCE,Undirected
AVP,CL,Undirected
CPB,CL,Undirected
CLX,CL,Undirected
CCE,CL,Undirected
CPB,STZ,Undirected
CCE,STZ,Undirected
MO,COST,Undirected
ADM,COST,Undirected
CPB,COST,Undirected
CCE,COST,Undirected
STZ,COST,Undirected
CPB,CVS,Undirected
CL,CVS,Undirected
STZ,CVS,Undirected
COST,CVS,Undirected
AVP,DF,Undirected
CPB,DF,Undirected
CLX,DF,Undirected
CCE,DF,Undirected
CL,DF,Undirected
MO,EL,Undirected
ADM,EL,Undirected
AVP,EL,Undirected
DF,EL,Undirected
CPB,GIS,Undirected
CCE,GIS,Undirected
CL,GIS,Undirected
DF,GIS,Undirected
EL,GIS,Undirected
MO,HNZ,Undirected
AVP,HNZ,Undirected
CPB,HNZ,Undirected
CVS,HNZ,Undirected
DF,HNZ,Undirected
GIS,HNZ,Undirected
CLX,HRL,Undirected
KO,HRL,Undirected
CCE,HRL,Undirected
DF,HRL,Undirected
EL,HRL,Undirected
GIS,HRL,Undirected
HNZ,HRL,Undirected
MO,K,Undirected
ADM,K,Undirected
AVP,K,Undirected
CPB,K,Undirected
CLX,K,Undirected
KO,K,Undirected
STZ,K,Undirected
DF,K,Undirected
GIS,K,Undirected
HNZ,K,Undirected
ADM,KMB,Undirected
AVP,KMB,Undirected
KO,KMB,Undirected
CCE,KMB,Undirected
CL,KMB,Undirected
STZ,KMB,Undirected
CVS,KMB,Undirected
EL,KMB,Undirected
HNZ,KMB,Undirected
K,KMB,Undirected
MO,KFT,Undirected
ADM,KFT,Undirected
CPB,KFT,Undirected
CL,KFT,Undirected
COST,KFT,Undirected
DF,KFT,Undirected
EL,KFT,Undirected
GIS,KFT,Undirected
HNZ,KFT,Undirected
HRL,KFT,Undirected
K,KFT,Undirected
CPB,KR,Undirected
CL,KR,Undirected
DF,KR,Undirected
HNZ,KR,Undirected
ADM,MKC,Undirected
AVP,MKC,Undirected
CPB,MKC,Undirected
KO,MKC,Undirected
CCE,MKC,Undirected
CL,MKC,Undirected
STZ,MKC,Undirected
HNZ,MKC,Undirected
K,MKC,Undirected
KFT,MKC,Undirected
KR,MKC,Undirected
CPB,TAP,Undirected
CLX,TAP,Undirected
STZ,TAP,Undirected
GIS,TAP,Undirected
HNZ,TAP,Undirected
HRL,TAP,Undirected
KMB,TAP,Undirected
MO,PEP,Undirected
AVP,PEP,Undirected
CPB,PEP,Undirected
KO,PEP,Undirected
CCE,PEP,Undirected
CL,PEP,Undirected
COST,PEP,Undirected
CVS,PEP,Undirected
HNZ,PEP,Undirected
K,PEP,Undirected
KMB,PEP,Undirected
MKC,PEP,Undirected
MO,PG,Undirected
ADM,PG,Undirected
AVP,PG,Undirected
CPB,PG,Undirected
CLX,PG,Undirected
KO,PG,Undirected
CL,PG,Undirected
COST,PG,Undirected
EL,PG,Undirected
HRL,PG,Undirected
K,PG,Undirected
KMB,PG,Undirected
KR,PG,Undirected
TAP,PG,Undirected
PEP,PG,Undirected
MO,RAI,Undirected
ADM,RAI,Undirected
CPB,RAI,Undirected
CCE,RAI,Undirected
STZ,RAI,Undirected
MKC,RAI,Undirected
TAP,RAI,Undirected
PEP,RAI,Undirected
PG,RAI,Undirected
CPB,SWY,Undirected
CL,SWY,Undirected
STZ,SWY,Undirected
COST,SWY,Undirected
DF,SWY,Undirected
HNZ,SWY,Undirected
HRL,SWY,Undirected
K,SWY,Undirected
KR,SWY,Undirected
PG,SWY,Undirected
MO,SLE,Undirected
ADM,SLE,Undirected
AVP,SLE,Undirected
CPB,SLE,Undirected
CLX,SLE,Undirected
CL,SLE,Undirected
CVS,SLE,Undirected
EL,SLE,Undirected
HNZ,SLE,Undirected
K,SLE,Undirected
KMB,SLE,Undirected
KFT,SLE,Undirected
TAP,SLE,Undirected
PEP,SLE,Undirected
SWY,SLE,Undirected
AVP,SJM,Undirected
CPB,SJM,Undirected
KO,SJM,Undirected
CL,SJM,Undirected
GIS,SJM,Undirected
HNZ,SJM,Undirected
HRL,SJM,Undirected
KMB,SJM,Undirected
KFT,SJM,Undirected
PG,SJM,Undirected
RAI,SJM,Undirected
SWY,SJM,Undirected
MO,SVU,Undirected
CL,SVU,Undirected
COST,SVU,Undirected
EL,SVU,Undirected
GIS,SVU,Undirected
HRL,SVU,Undirected
KMB,SVU,Undirected
KR,SVU,Undirected
TAP,SVU,Undirected
SWY,SVU,Undirected
SLE,SVU,Undirected
MO,SYY,Undirected
CPB,SYY,Undirected
CCE,SYY,Undirected
CL,SYY,Undirected
STZ,SYY,Undirected
CVS,SYY,Undirected
HNZ,SYY,Undirected
TAP,SYY,Undirected
PEP,SYY,Undirected
RAI,SYY,Undirected
SWY,SYY,Undirected
SJM,SYY,Undirected
MO,HSY,Undirected
ADM,HSY,Undirected
STZ,HSY,Undirected
EL,HSY,Undirected
HNZ,HSY,Undirected
K,HSY,Undirected
KMB,HSY,Undirected
KFT,HSY,Undirected
KR,HSY,Undirected
MKC,HSY,Undirected
TAP,HSY,Undirected
RAI,HSY,Undirected
ADM,TSN,Undirected
AVP,TSN,Undirected
CLX,TSN,Undirected
KO,TSN,Undirected
STZ,TSN,Undirected
CVS,TSN,Undirected
DF,TSN,Undirected
EL,TSN,Undirected
GIS,TSN,Undirected
HNZ,TSN,Undirected
KFT,TSN,Undirected
TAP,TSN,Undirected
RAI,TSN,Undirected
SLE,TSN,Undirected
SJM,TSN,Undirected
SVU,TSN,Undirected
SYY,TSN,Undirected
MO,WMT,Undirected
AVP,WMT,Undirected
KO,WMT,Undirected
COST,WMT,Undirected
CVS,WMT,Undirected
DF,WMT,Undirected
HNZ,WMT,Undirected
HRL,WMT,Undirected
K,WMT,Undirected
KMB,WMT,Undirected
KFT,WMT,Undirected
KR,WMT,Undirected
MKC,WMT,Undirected
SWY,WMT,Undirected
SYY,WMT,Undirected
TSN,WMT,Undirected
MO,WAG,Undirected
AVP,WAG,Undirected
CPB,WAG,Undirected
CLX,WAG,Undirected
KO,WAG,Undirected
STZ,WAG,Undirected
COST,WAG,Undirected
CVS,WAG,Undirected
EL,WAG,Undirected
HNZ,WAG,Undirected
HRL,WAG,Undirected
K,WAG,Undirected
KR,WAG,Undirected
MKC,WAG,Undirected
SJM,WAG,Undirected
CPB,WFM,Undirected
KO,WFM,Undirected
CL,WFM,Undirected
CVS,WFM,Undirected
GIS,WFM,Undirected
HRL,WFM,Undirected
K,WFM,Undirected
KR,WFM,Undirected
MKC,WFM,Undirected
TAP,WFM,Undirected
PG,WFM,Undirected
SWY,WFM,Undirected
SLE,WFM,Undirected
SJM,WFM,Undirected
SYY,WFM,Undirected
HSY,WFM,Undirected
WMT,WFM,Undirected
WAG,WFM,Undirected
AVP,AES,Undirected
STZ,AES,Undirected
K,AES,Undirected
SJM,AES,Undirected
TSN,AES,Undirected
WMT,AES,Undirected
CLX,AEE,Undirected
KO,AEE,Undirected
CCE,AEE,Undirected
STZ,AEE,Undirected
DF,AEE,Undirected
EL,AEE,Undirected
HNZ,AEE,Undirected
KMB,AEE,Undirected
TAP,AEE,Undirected
SVU,AEE,Undirected
TSN,AEE,Undirected
WFM,AEE,Undirected
AES,AEE,Undirected
KR,AEP,Undirected
RAI,AEP,Undirected
SWY,AEP,Undirected
WFM,AEP,Undirected
AEE,AEP,Undirected
CLX,CNP,Undirected
DF,CNP,Undirected
EL,CNP,Undirected
HNZ,CNP,Undirected
KFT,CNP,Undirected
SLE,CNP,Undirected
HSY,CNP,Undirected
WMT,CNP,Undirected
AES,CNP,Undirected
AEE,CNP,Undirected
AEP,CNP,Undirected
MO,CMS,Undirected
AVP,CMS,Undirected
CPB,CMS,Undirected
CL,CMS,Undirected
STZ,CMS,Undirected
HNZ,CMS,Undirected
SLE,CMS,Undirected
AES,CMS,Undirected
AVP,ED,Undirected
EL,ED,Undirected
HRL,ED,Undirected
KFT,ED,Undirected
WAG,ED,Undirected
AEE,ED,Undirected
AEP,ED,Undirected
CNP,ED,Undirected
STZ,CEG,Undirected
COST,CEG,Undirected
HRL,CEG,Undirected
K,CEG,Undirected
MKC,CEG,Undirected
PEP,CEG,Undirected
PG,CEG,Undirected
SWY,CEG,Undirected
SJM,CEG,Undirected
SYY,CEG,Undirected
AES,CEG,Undirected
CNP,CEG,Undirected
CMS,CEG,Undirected
CLX,D,Undirected
KO,D,Undirected
STZ,D,Undirected
COST,D,Undirected
CVS,D,Undirected
EL,D,Undirected
MKC,D,Undirected
SJM,D,Undirected
HSY,D,Undirected
WFM,D,Undirected
AEP,D,Undirected
CNP,D,Undirected
CMS,D,Undirected
CEG,D,Undirected
CPB,DTE,Undirected
KMB,DTE,Undirected
RAI,DTE,Undirected
SWY,DTE,Undirected
WMT,DTE,Undirected
AEP,DTE,Undirected
CNP,DTE,Undirected
CMS,DTE,Undirected
ED,DTE,Undirected
D,DTE,Undirected
AVP,DUK,Undirected
